questionName,inputType,active,section,group,path,label::fr,label::en,label_one::fr,label_one::en,parameters,appearance,conditional,validation,choices,help_popup,inputRange,confirm_popup,containsHtml,customPath,customChoice,defaultValue,includeNotApplicable,comments
anyTripModeFrequenciesCarPassenger,Radio,TRUE,frequencies,,freqAttitudinal.anyTripModeFrequenciesCarPassenger,"<span class=""_phone"" aria-hidden=""true"">i </span>Fréquence d'utilisation du mode : **Auto-passager**","<span class=""_phone"" aria-hidden=""true"">i </span>Frequency of use of the mode: **Car passenger**",,,,,,optionalValidation,anyTripModeFrequenciesChoices,,,,TRUE,,,,,
anyTripModeFrequenciesCarDriver,Radio,TRUE,frequencies,,freqAttitudinal.anyTripModeFrequenciesCarDriver,"<span class=""_phone"" aria-hidden=""true"">i </span>Fréquence d'utilisation du mode : **Auto-conducteur**","<span class=""_phone"" aria-hidden=""true"">i </span>Frequency of use of the mode: **Car driver**",,,,,hasDrivingLicenseConditional,optionalValidation,anyTripModeFrequenciesChoices,,,,TRUE,,,,,
buttonCompleteFrequenciesSection,NextButton,TRUE,frequencies,,buttonCompleteFrequenciesSection,Continuer,Continue,,,,,,,,,,,,,,,,
attitudinalIntro,InfoText,TRUE,attitudinal,,freqAttitudinal.attitudinalIntro,"<span class=""_phone"" aria-hidden=""true"">i </span>Pour cette série de questions, nous vous demandons ({{nickname}}) de quantifier dans **quelle mesure vous êtes d’accord ou non avec une affirmation spécifique.**","<span class=""_phone"" aria-hidden=""true"">i </span>For this set of questions, we ask you ({{nickname}}) to indicate **how much you agree or disagree with a specific statement**.","<span class=""_phone"" aria-hidden=""true"">i </span>Pour cette série de questions, nous vous demandons de quantifier dans **quelle mesure vous êtes d’accord ou non avec une affirmation spécifique**.","<span class=""_phone"" aria-hidden=""true"">i </span>For this set of questions, we ask you to indicate **how much you agree or disagree with a specific statement**.",customLabels={{attitudinalIntroCustomLabel}},,,,,,,,TRUE,,,,,
attitudinalOpinion,Radio,TRUE,attitudinal,,freqAttitudinal.attitudinalOpinion,"<span class=""_phone"" aria-hidden=""true"">i </span>L’opinion des personnes qui comptent pour moi (famille, amis, collègues) influence mes choix de mode de transport pour mes trajets habituels.","<span class=""_phone"" aria-hidden=""true"">i </span>The opinions of people who matter to me (family, friends, colleagues) influence my choice of transportation mode for my usual trips.",,,,,,optionalValidation,attitudinalChoices,,,,TRUE,,,,,
attitudinalCar,Radio,TRUE,attitudinal,,freqAttitudinal.attitudinalCar,"<span class=""_phone"" aria-hidden=""true"">i </span>La voiture personnelle représente pour moi l’indépendance et l’autonomie.","<span class=""_phone"" aria-hidden=""true"">i </span>A personal car represents independence and autonomy for me.",,,,,,optionalValidation,attitudinalChoices,,,,TRUE,,,,,
attitudinalTransitGoodQuality,Radio,TRUE,attitudinal,,freqAttitudinal.attitudinalTransitGoodQuality,"<span class=""_phone"" aria-hidden=""true"">i </span>Globalement, le transport en commun dans la région où j’habite est utile et de bonne qualité.","<span class=""_phone"" aria-hidden=""true"">i </span>Overall, public transit in the region where I live is useful and of good quality.",,,,,,optionalValidation,attitudinalChoices,,,,TRUE,,,,,
attitudinalFamiliarWithTransit,Radio,TRUE,attitudinal,,freqAttitudinal.attitudinalFamiliarWithTransit,"<span class=""_phone"" aria-hidden=""true"">i </span>Je connais bien les services de transport en commun qui desservent mon domicile et mes lieux d’activité habituels (lignes, arrêts principaux, fréquences).","<span class=""_phone"" aria-hidden=""true"">i </span>I am familiar with the public transit services that serve my home and my usual activity locations (lines, main stops, frequencies).",,,,,,optionalValidation,attitudinalChoices,,,,TRUE,,,,,
attitudinalRequireHighLevel,Radio,TRUE,attitudinal,,freqAttitudinal.attitudinalRequireHighLevel,"<span class=""_phone"" aria-hidden=""true"">i </span>Mes activités habituelles exigent un niveau élevé de mobilité et de flexibilité (nombreux déplacements, destinations diverses, variabilité des horaires, etc.).","<span class=""_phone"" aria-hidden=""true"">i </span>My usual activities require a high level of mobility and flexibility (frequent trips, diverse destinations, variable schedules, etc.).",,,,,,optionalValidation,attitudinalChoices,,,,TRUE,,,,,
attitudinalEasyWithoutCar,Radio,TRUE,attitudinal,,freqAttitudinal.attitudinalEasyWithoutCar,"<span class=""_phone"" aria-hidden=""true"">i </span>Il me serait facile de réaliser la plupart de mes déplacements sans voiture personnelle, en utilisant le transport en commun ou les modes actifs.","<span class=""_phone"" aria-hidden=""true"">i </span>It would be easy for me to make most of my trips without a personal car, using public transit or active modes.",,,,,,optionalValidation,attitudinalChoices,,,,TRUE,,,,,
